,Planet_Identifier,Planetary_Mass_Earth,Eccentricity,Semi_Major_Axis_AU,Host_Star_Radius_Solar,Host_Star_Temperature_Kelvin,Luminosity_of_Host_Star,Runaway_Greenhouse_S_eff,Maximum_Greenhouse_S_eff,Runaway_Greenhouse,Maximum_Greenhouse,Is_In_Habitable_Zone
239,Kepler-277 b,87.80254077224474,,,1.65,5946.0,3.007153059932872,1.2122181835319363,0.36627559816116867,1.575024702889484,2.8653242390631624,
240,Kepler-277 c,66.30253775828004,,,1.65,5946.0,3.007153059932872,1.2122181835319363,0.36627559816116867,1.575024702889484,2.8653242390631624,
241,,,,,,,,,,,,
242,,,,,,,,,,,,
243,,,,,,,,,,,,
244,,,,,,,,,,,,
245,,,,,,,,,,,,
246,,,,,,,,,,,,
247,OGLE-2012-BLG-0950L b,34.96969291048525,,2.7,,5500.0,,1.1493858314649597,0.33892109898879996,,,
248,,,,,,,,,,,,
249,,,,,,,,,,,,
250,,,,,,,,,,,,
251,,,,,,,,,,,,
252,,,,,,,,,,,,
253,,,,,,,,,,,,
254,,,,,,,,,,,,
255,,,,,,,,,,,,
256,,,,,,,,,,,,
257,,,,,,,,,,,,
258,,,,,,,,,,,,
259,,,,,,,,,,,,
260,HD 219077 b,3303.046448544925,0.77,6.22,1.91,5362.0,2.664783918687547,1.1316328621751852,0.33071844647966786,1.5345400375699894,2.838584256947846,False
261,,,,,,,,,,,,
262,WASP-13 b,158.95314959311477,0.0,0.05379,1.559,5989.0,2.763105761733769,1.2186146902310362,0.36894130101726624,1.505793956060041,2.7366554147590625,False
263,HD 215152 b,2.765784802920197,0.34,0.0652,,5150.0,,1.03112822079909,0.31850846374842495,,,
264,HD 215152 c,3.083691102106427,0.38,0.0852,,5150.0,,1.03112822079909,0.31850846374842495,,,
265,18 Del b,3274.4348816181646,0.08,2.6,8.5,4979.0,39.23687241121832,1.0876268669523672,0.3090737564338134,6.00630286576526,11.267203177760628,False
266,,,,,,,,,,,,
267,,,,,,,,,,,,
268,HD 210702 b,604.0219684538362,0.094,1.2,5.1,4967.0,13.989591009371102,1.0863821976296912,0.3084270369662353,3.5884854430254167,6.734824577962737,False
269,,,,,,,,,,,,
270,HD 165155 b,918.7492046482034,0.2,1.13,0.95,5426.0,0.6912806397186593,1.139750767709772,0.3345005607734023,0.7787933783753938,1.4375692414039314,True
271,HD 210277 b,391.02474799906236,0.472,1.1,1.1,5532.0,1.0013873060291252,1.1536316846724546,0.34084702398174205,0.9316814596248991,1.714041322155535,True
272,WASP-135 b,604.0219684538362,0.0,0.0243,0.96,5675.0,0.8446833920676505,1.1731511651732474,0.34954280477027655,0.8485354472105392,1.5545217193826153,False
273,HIP 67537 b,3528.759920967148,0.59,4.96,8.69,4985.0,41.20863500933615,1.0882523593085474,0.3093978986329015,6.153600614571705,11.540787242119306,False
274,,,,,,,,,,,,
275,,,,,,,,,,,,
276,Gliese 15 A b,5.350363015304244,0.0,0.0717,0.3863,3567.0,0.0213476404426808,0.9955085639030223,0.2490398307266012,0.14643754502998224,0.2927794114700654,False
277,HD 330075 b,197.10190549546232,0.0,0.039,,6295.0,,1.2650332030592475,0.38775496748415156,,,
278,,,,,,,,,,,,
279,,,,,,,,,,,,
280,,,,,,,,,,,,
281,HAT-P-55 b,185.02146612638558,,0.04604,1.011,5808.0,1.0277719665012754,1.1920255972461606,0.3577291406868333,0.9285506388569725,1.6950059388606058,
282,Kepler-45 b,160.5426810890459,0.11,0.027,0.55,3820.0,0.056920257535901575,1.00518571140096,0.2574233689408,0.23796345998431423,0.4702290366918343,False
283,,,,,,,,,,,,
284,WASP-121 b,376.0831519373096,,0.02544,1.458,6459.0,3.2693710441307076,1.2900987299692066,0.39756431229382583,1.5919177753358957,2.867664959348886,
285,,,,,,,,,,,,
286,,,,,,,,,,,,
287,Kepler-25 d,89.90326559726734,,,1.34,6354.0,2.5863450490922846,1.2740639046351914,0.3913156678723719,1.4247793965455162,2.5708670243028733,
288,WASP-70 A b,187.56471651987542,,0.04853,1.215,5700.0,1.377019227172881,1.17664946241536,0.35107568174079995,1.0817986914737452,1.9804762022976312,
289,HD 102956 b,305.19004721878036,0.048,0.081,4.4,5054.0,11.161802380065321,1.095595988099275,0.31316237411814785,3.1918461361534947,5.970110590792135,False
290,WTS-1 b,1274.8042597367805,0.0,0.047,1.15,6250.0,1.7832152757493358,1.2581481648939596,0.385019558024425,1.1905180755978013,2.152090311496215,False
291,BD+49 828 b,508.6500786979673,0.35,4.2,7.6,4943.0,30.470364687762906,1.0839181798135762,0.3071399081340972,5.302010406905095,9.960260591206909,False
292,HD 66141 b,1907.4377951173774,0.07,1.2,22.0,4305.0,146.9014256488073,1.0308557052171872,0.2762956537978516,11.93751872586101,23.058230622568587,False
293,CoRoT-2 b,1052.2698503064198,0.0,0.0281,0.902,5575.0,0.6945133332250671,1.1594095360160475,0.3434473750186516,0.7739659591734618,1.4220346971558844,False
294,HD 176051 b,476.85944877934435,0.0,1.76,,5700.0,,1.17664946241536,0.35107568174079995,,,
295,,,,,,,,,,,,
296,,,,,,,,,,,,
297,,,,,,,,,,,,
298,,,,,,,,,,,,
299,XO-5 b,342.3850842235692,0.0,0.0487,1.06,5510.0,0.9151792225,1.15070762560356,0.339522067650425,0.8918063908954029,1.6417955429183664,False
300,EPIC 201367065 b,8.39272629851646,,0.0769,0.56,3896.0,0.06384690838821314,1.0085153490682615,0.2601271816436077,0.2516104532813681,0.4954240308659751,
301,,,,,,,,,,,,
302,,,,,,,,,,,,
303,,,,,,,,,,,,
304,,,,,,,,,,,,
305,,,,,,,,,,,,
306,,,,,,,,,,,,
307,,,,,,,,,,,,
308,,,,,,,,,,,,
309,,,,,,,,,,,,
310,,,,,,,,,,,,
311,HD 9446 b,222.53440943036068,0.2,0.189,1.0,5793.0,0.9951811463590859,1.1898657663200727,0.35680250992007123,0.9145386938630566,1.6700794013384777,False
312,HD 9446 c,578.5894645189378,0.06,0.654,1.0,5793.0,0.9951811463590859,1.1898657663200727,0.35680250992007123,0.9145386938630566,1.6700794013384777,False
313,,,,,,,,,,,,
314,HD 125612 b,953.7188975586887,0.46,1.37,1.05,5897.0,1.1781243573902442,1.2049859303659312,0.36323808749441405,0.9887911700211529,1.8009426256634946,True
315,HD 125612 c,18.438565352801316,0.27,0.05,1.05,5897.0,1.1781243573902442,1.2049859303659312,0.36323808749441405,0.9887911700211529,1.8009426256634946,False
316,HD 125612 d,2288.925354140853,0.28,4.2,1.05,5897.0,1.1781243573902442,1.2049859303659312,0.36323808749441405,0.9887911700211529,1.8009426256634946,False
317,,,,,,,,,,,,
318,,,,,,,,,,,,
319,,,,,,,,,,,,
320,,,,,,,,,,,,
321,Qatar-2 b,790.6329660761529,0.0,0.02149,0.713,4645.0,0.20912692843274008,1.0561650663413475,0.2918972805440266,0.4449785536212351,0.8464278703099286,False
322,,,,,,,,,,,,
323,Kepler-102 e,8.930305850440375,,,0.74,4903.0,0.27963983563811473,1.079886792666486,0.30501365123944163,0.5088741667637144,0.9575024205477192,
324,Kepler-102 d,3.8002519004721877,,,0.74,4903.0,0.27963983563811473,1.0067975000755685,0.30501365123944163,0.5270216481670745,0.9575024205477192,
325,,,,,,,,,,,,
326,,,,,,,,,,,,
327,,,,,,,,,,,,
328,HAT-P-37 b,371.6324637487024,0.058,0.0378,0.877,5500.0,0.621924936448968,1.1493858314649597,0.33892109898879996,0.735590421781433,1.3546268585733918,False
329,EPIC 218916923 b,121.12229998995346,0.0,0.1811,0.86,5287.0,0.5106486285453681,1.122385113553106,0.32633992856294236,0.6745127074753312,1.2509097508538431,False
330,WASP-8 b,713.3817353738991,0.31,0.0801,0.953,5600.0,0.7892706167760764,1.16280585743616,0.3449652806948,0.8238712770296884,1.5126041021023409,False
331,HR 810 b,718.4682361608787,0.161,0.925,1.85,5997.0,3.911719255785976,1.2198094748301747,0.369437112771065,1.790761866725303,3.253970251545784,False
332,HAT-P-29 b,247.3311007668866,0.095,0.0667,1.224,6087.0,1.8174566814803992,1.2333404270682677,0.37500752025103046,1.2139213524048478,2.201466320390428,False
333,HD 4732 b,753.437929071364,0.13,1.19,5.4,4959.0,15.583032576225,1.0855571030810627,0.3079970556750308,3.78878230662123,7.112998332026954,False
334,HD 4732 c,753.437929071364,0.23,4.6,5.4,4959.0,15.583032576225,1.0855571030810627,0.3079970556750308,3.78878230662123,7.112998332026954,True
335,WASP-140 b,775.6913700144,0.047,0.0323,0.87,5260.0,0.5119994655053509,1.11912817990656,0.3247788413248,0.6763863553392727,1.255569882705659,False
336,HD 1666 b,2044.1375037674559,0.63,0.94,1.93,6317.0,5.2413860844679245,1.2684007951316505,0.38908633713151625,2.0328007995849346,3.6702875058379587,False
337,,,,,,,,,,,,
338,,,,,,,,,,,,
339,,,,,,,,,,,,
340,Kepler-434 b,909.2120156726164,,0.1143,1.38,5970.0,2.137684080700743,1.21578290922836,0.367763536178425,1.3260006730835279,2.4109456945576304,
341,,,,,,,,,,,,
342,,,,,,,,,,,,
343,,,,,,,,,,,,
344,,,,,,,,,,,,
345,,,,,,,,,,,,
346,,,,,,,,,,,,
347,,,,,,,,,,,,
